Acct,junk
48764162,0
48764359,0
48764532,0
48764632,0
48764651,0
48764680,0
48764805,0
48765283,0
48765305,0
48765437,0
48765513,0
48765618,0
48765690,0
48766357,0
48766989,0
48766994,0
48768138,0
48769032,0
48769613,0
48769869,0
48771170,0
48771234,0
48771686,0
48771882,0
48772511,0
48772545,0
48772832,0
48773036,0
48773294,0
48773439,0
48773532,0
48773741,0
48773976,0
48774151,0
48774187,0
48774387,0
48774517,0
48774648,0
48774712,0
48774771,0
48774859,0
48775149,0
48775336,0
48775400,0
48775405,0
48775423,0
48775638,0
48775783,0
48775821,0
48775884,0
48776086,0
48776139,0
48776289,0
48776437,0
48776546,0
48776774,0
48776882,0
48776973,0
48777448,0
48777926,0
48777946,0
48777962,0
48778101,0
48778109,0
48778169,0
48778207,0
48778387,0
48778448,0
48778744,0
48778838,0
48778844,0
48779039,0
48779165,0
48779256,0
48779371,0
48779520,0
48779824,0
48779835,0
48780005,0
48780317,0
48780444,0
48780598,0
48780827,0
48781146,0
48781567,0
48781729,0
48782090,0
48782695,0
48783177,0
48785910,0
48787352,0
48787993,0
48788210,0
48788493,0
48789100,0
48789169,0
48789199,0
48789204,0
48789457,0
48789494,0
48789534,0
48789616,0
48789650,0
48789870,0
48790008,0
48790066,0
48790268,0
48790275,0
48790472,0
48790747,0
48790829,0
48790837,0
48790988,0
48791075,0
48791180,0
48791193,0
48791203,0
48791355,0
48791486,0
48791538,0
48791905,0
48791912,0
48792208,0
48792812,0
48792924,0
48792957,0
48792979,0
48793171,0
48793249,0
48793466,0
48793803,0
48793855,0
48793937,0
48794028,0
48794032,0
48794293,0
48794695,0
48795286,0
48795348,0
48795379,0
48795384,0
48795632,0
48795701,0
48796247,0
48796305,0
48796712,0
48796998,0
48798103,0
48798767,0
48803801,0
48804109,0
48804348,0
48804435,0
48804773,0
48805084,0
48805116,0
48805684,0
48805846,0
48805962,0
48805989,0
48806051,0
48806337,0
48806497,0
48806558,0
48806711,0
48806748,0
48806965,0
48807167,0
48807464,0
48807932,0
48807977,0
48808186,0
48808316,0
48808563,0
48808663,0
