Acct,junk
50503871,0
50503968,0
50504158,0
50504228,0
50504272,0
50504615,0
50504675,0
50504894,0
50505009,0
50505313,0
50505337,0
50506104,0
50506467,0
50513286,0
50515468,0
50517785,0
50517794,0
50517810,0
50517816,0
50517823,0
50517830,0
50517839,0
50517848,0
50517858,0
50517873,0
50517883,0
50517892,0
50518860,0
50518909,0
50519170,0
50519234,0
50519704,0
50519791,0
50519832,0
50519902,0
50520593,0
50520814,0
50520945,0
50520978,0
50521230,0
50521723,0
50521885,0
50522172,0
50522402,0
50522677,0
50522711,0
50522760,0
50522886,0
50522991,0
50523003,0
50523085,0
50523539,0
50523579,0
50523605,0
50523666,0
50523728,0
50523779,0
50523873,0
50524002,0
50524056,0
50524099,0
50524127,0
50524969,0
50525565,0
50529392,0
50529892,0
50530347,0
50536794,0
50537242,0
50537329,0
50537526,0
50537690,0
50537847,0
50537851,0
50538702,0
50538864,0
50538873,0
50539021,0
50539210,0
50539256,0
50539269,0
50540141,0
50540354,0
50540492,0
50540601,0
50542432,0
50543335,0
50543352,0
50543365,0
50543645,0
50543776,0
50544487,0
50544638,0
50545406,0
50545513,0
50547740,0
50549086,0
50556521,0
50557190,0
50557818,0
50558201,0
50558337,0
50559521,0
50560051,0
50560142,0
50561552,0
50561881,0
50561988,0
50563883,0
50564134,0
50565998,0
50570125,0
50578667,0
50587592,0
50594943,0
50595567,0
50604219,0
50606852,0
50610640,0
50611059,0
50618288,0
50626716,0
50626973,0
50627805,0
50629079,0
50629618,0
50629866,0
50629926,0
50630177,0
50630333,0
50630445,0
50630602,0
50630947,0
50630957,0
50632560,0
50632694,0
50632821,0
50632989,0
50634358,0
50634682,0
50634866,0
50634871,0
50635928,0
50636040,0
50636560,0
50637294,0
50637906,0
50646494,0
50649124,0
50649244,0
50649961,0
50650189,0
50650451,0
50650667,0
50650763,0
50651460,0
50651540,0
50651566,0
50651829,0
50652090,0
50652408,0
50652474,0
50653106,0
50653595,0
50654557,0
50655805,0
50658573,0
50659136,0
50665773,0
50667728,0
50667997,0
50668149,0
50668457,0
50668533,0
