name,uuid,aria_us_id,aria_uk_id,aria_can_id,aria_au_id
Fireball,1a6c6a095bec4e5c5af9ddf6b13e028d,45578295,NULL,NULL,NULL
Fireball,ef635c21026803b90ef25cf8908837a8,44716578,NULL,NULL,NULL
Fireball,c94ca0f9467532a2b33cb72b9eeb134f,45273012,NULL,NULL,NULL
Fireball,3e76383f1504d7a954aa60cd774eec3d,45312660,NULL,NULL,NULL
Fireball,b9dbfd4559fa390878aaebbd3cfe14c7,45692805,NULL,NULL,NULL
Fireball,b05ee01eaf56335da7bfe4ce8a05d9f9,45731188,NULL,NULL,NULL
Fireball,bcaa3963a5b52e041849c686a1bbfd20,NULL,44898334,NULL,NULL
Fireball,4f4978fcac7e1c9e0e315d562addcf38,44748250,NULL,NULL,NULL
Fireball,b10fdddaabaaf997e5f435f71460410d,45527241,NULL,NULL,NULL
Fireball,b482c428c8c378efcc54b4b966f0cf49,45573437,NULL,NULL,NULL
Fireball,79a372b5819d9caf0704ec51ab50165b,46145770,NULL,NULL,NULL
Fireball,87918785a212dad7074570365378e49e,46023640,NULL,NULL,NULL
Fireball,e205b3706d7ad216c0686b50ab9601d9,44715125,NULL,NULL,NULL
Fireball,4f304dbe6c61f8412ec3283effbcf343,45270074,NULL,NULL,NULL
Fireball,91ec94fcdf615b9a8560e566a28b0b9b,45310104,NULL,NULL,NULL
Fireball,171f40720ddc8f361d0839cec06ab376,45690706,NULL,NULL,NULL
Fireball,0598343a02c5d1f33be29de13f4203a4,44604989,NULL,NULL,NULL
Fireball,666710b071a9757f3e22925d4cbe3c5e,44880245,NULL,NULL,NULL
Fireball,a7d1f4effd0fc01aa97b4b55c767e1b4,44735288,NULL,NULL,NULL
Fireball,36889d9c795a0ede281500aa720ec88e,44287630,NULL,NULL,NULL
Fireball,159068fc7eb9229979d5a478438a114b,44098916,NULL,NULL,NULL
Fireball,47206caabc16e184c0e22fd701d45cc7,46128954,NULL,NULL,NULL
Fireball,5028899dccc9e4f1ee95a41983329076,NULL,45914912,NULL,NULL
Fireball,5e66a9bd98528b0dc02895f49f1f7ab5,45223002,NULL,NULL,NULL
Fireball,c134004b450566cee188456b931ae6cf,44771548,NULL,NULL,NULL
Fireball,753d8efab594fabb4f48cedb9f3ea335,44589823,NULL,NULL,NULL
Fireball,fb38bbd8dd3639f94c8bca0cdb004f84,44878829,NULL,NULL,NULL
Fireball,5e7d4f2ba316285d59bba0040e2aa612,44733552,NULL,NULL,NULL
Fireball,5457bd9503d377d4b2642a5ac83d4dcb,44849436,NULL,NULL,NULL
Fireball,0ba0d3fb8166d6a0aa7d4c527b339bd6,44098467,NULL,NULL,NULL
