Acct,Acct_status,clientPID,PlanStatus,Active_date,Term_date
39464241,-99,HZ_MultiCarrier_Addon,-1,2016-07-01,2017-04-05
39464241,-99,HZ_MultiCarrier_Addon_Trial,3,2016-03-30,2018-01-26
39894535,1,HZ_MultiCarrier_Addon,-1,2017-04-26,2017-06-01
40564563,-99,HZ_MultiCarrier_Addon,1,2016-07-02,None
40564563,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-02,2018-01-26
40823675,-99,HZ_MultiCarrier_Addon,2,2016-07-20,None
40823675,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-20,2018-01-26
40828104,1,HZ_MultiCarrier_Addon,1,2016-07-20,None
40828104,1,HZ_MultiCarrier_Addon_Trial,3,2016-04-20,2018-01-26
40828119,1,HZ_MultiCarrier_Addon,1,2016-07-20,None
40828119,1,HZ_MultiCarrier_Addon_Trial,3,2016-04-20,2018-01-26
40906413,-99,HZ_MultiCarrier_Addon,-1,2017-01-20,2017-01-20
40906550,1,HZ_MultiCarrier_Addon,1,2016-07-25,None
40906550,1,HZ_MultiCarrier_Addon_Trial,3,2016-04-25,2018-01-26
40916047,-99,HZ_MultiCarrier_Addon,1,2016-07-26,None
40916047,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40916573,-99,HZ_MultiCarrier_Addon,1,2016-07-26,None
40916573,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40916598,1,HZ_MultiCarrier_Addon,1,2016-07-26,None
40916598,1,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40918163,-99,HZ_MultiCarrier_Addon,1,2016-07-26,None
40918163,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40918367,-99,HZ_MultiCarrier_Addon,1,2016-07-26,None
40918367,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40918670,-99,HZ_MultiCarrier_Addon,1,2016-07-26,None
40918670,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40919178,-99,HZ_MultiCarrier_Addon,1,2016-07-26,None
40919178,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40919360,-99,HZ_MultiCarrier_Addon,2,2016-07-26,None
40919360,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40919809,-99,HZ_MultiCarrier_Addon,1,2016-07-26,None
40919809,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
40922899,-99,HZ_MultiCarrier_Addon,1,2016-07-26,None
40922899,-99,HZ_MultiCarrier_Addon_Trial,3,2016-04-26,2018-01-26
